"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1862",84635,"You\re Now Tuning Into66.6 FM With DJ Rapture(The Hottest Hour Of The Evening)",0.67,0.774,6,-3.283,0,0.208,0.112,0,0.185,0.221,75.024,"spotify:track:3cQPyVlnrmmWU5fQJxl0q9",133,4,"rapmetal","Rap"
"1863",84636,"I Think It\s Time That IEmerge",0.875,0.332,1,-10.797,1,0.459,0.396,1.3e-06,0.0884,0.38,123.964,"spotify:track:4AxnwDsuPBrgXTBqenWTiB",172,4,"rapmetal","Rap"
"1864",84637,"Infiltrate",0.829,0.823,5,-8.171,0,0.342,0.0566,0.00169,0.487,0.153,140.014,"spotify:track:33mcPMqHjhGGoS7ryynmay",246,4,"rapmetal","Rap"
"1865",84638,"Killer",0.945,0.587,2,-5.104,1,0.271,0.253,1.01e-06,0.264,0.509,131.969,"spotify:track:2M99nVCO6d5wcxocskN1Yh",130,4,"rapmetal","Rap"
"1866",84639,"24seven",0.764,0.391,11,-11.429,0,0.556,0.644,0,0.0877,0.564,120.004,"spotify:track:673ZpISmVGAMLm2vy4RkXo",128,4,"rapmetal","Rap"
"1867",84640,"Cataclysm",0.853,0.831,2,-5.627,1,0.0866,0.00931,0,0.0424,0.502,141.995,"spotify:track:7EzzGgY19Ijr8iOGtmBfMh",128,4,"rapmetal","Rap"
"1868",84641,"But This Isthe End",0.763,0.507,5,-11.026,1,0.0443,0.151,0.000691,0.16,0.32,109.992,"spotify:track:1YMDkf4p153rsj5GVv8fUV",157,4,"rapmetal","Rap"
"1869",84642,"L ED",0.659,0.659,2,-6.623,1,0.297,0.0906,0,0.348,0.611,200.158,"spotify:track:2XH2w3lHRhbZ9D5lUjVVRC",134,3,"rapmetal","Rap"
"1870",84643,"High Res",0.828,0.754,5,-9.087,1,0.429,0.152,9.01e-06,0.113,0.318,127.992,"spotify:track:6jo7FQAUx3eCSkisOf6Mlp",150,4,"rapmetal","Rap"
"1871",84644,"I\m Sorry",0.851,0.49,4,-8.957,0,0.0762,0.0845,0.000182,0.0866,0.492,136.03,"spotify:track:0MbN2tXEeRFH0myX8OW5b9",187,4,"rapmetal","Rap"
"1872",84645,"Fromthe Shadows",0.869,0.424,10,-9.56,0,0.214,0.202,0.00845,0.161,0.195,126.996,"spotify:track:55aoutKtCpUedaHejzDksV",166,4,"rapmetal","Rap"
